,Country,Commodity,ExportsFrom,World,ImportsTo,ReExportsFrom,ExpFromImpToRatio,emissionsCommodity,tCO2_USA,tCH4_USA,tN2O_USA,ghgCategory,tCO2,tCH4,tN2O
1291,Egypt,"Lignite; whether or not agglomerated, excluding jet",114930420.0,114930420.0,54480.0,0.0,2109.5892070484583,Lignite Coal,175972.0820344364,19.76360316585463,2.9138645693247205,Lignite,138134.871798,13.67671998,2.0515079970000003
338,South Africa,"Peat; (including peat litter), whether or not agglomerated",410752.0,410755.0,1663563.5223603696,220204.0,0.2469109201295776,Peat,405.2371524945436,0.11591140898167951,0.015394484005379308,Peat,424.94758912000003,0.040089395199999996,0.005612515328
379,South Africa,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",106865287.0,106865288.0,300567387.54707706,0.0,0.3555451836346083,Coal Coke,332076.59345774824,32.159244417866354,4.711977204082983,Coking coal,285086.66343563993,30.136010933999998,4.520401640099999
1338,Nigeria,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",4561.786907897017,4561.786907897017,66000.0,0.0,0.0691179834529851,Coal Coke,14.17544180136433,0.0013727902134701886,0.00020114142321907527,Coking coal,12.16957016993503,0.0012864239080269588,0.00019296358620404382
1345,Egypt,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",102295440.0,102295440.0,127190203.0,0.0,0.8042713792979794,Coal Coke,317876.1054696973,30.784028660243834,4.510480389779317,Coking coal,272895.5911968,28.847314079999997,4.327097112
420,South Africa,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",19931.0,19932.0,591633.5868435873,0.0,0.03368808066887055,nan,,,,Gas coke,60.1397994,0.0028102709999999996,5.6205420000000004e-05
436,South Africa,"Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars",375663.0,375666.0,119355.0,15.0,3.1474425034560762,nan,,,,Coal tar,848.8481148,0.10518564000000001,0.015777846
1370,Egypt,"Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars",4947005.0,4947005.0,0.0,0.0,inf,nan,,,,Coal tar,11178.252498,1.3851614,0.20777421000000001
456,South Africa,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,265579196.0,265579200.0,38375338.81325039,1222.0,6.920569412882935,nan,,,,Other petroleum products,782571.59368536,106.76283679200002,6.40577020752
1375,Nigeria,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,170352700.0,170352700.0,6335.719462218613,0.0,26887.664615810918,nan,,,,Other petroleum products,501971.486982,68.4817854,4.108907124
1392,Egypt,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,1250042.0,1250042.0,1049310.0,0.0,1.191299044133764,nan,,,,Other petroleum products,3683.44875972,0.502516884,0.030151013039999997
520,South Africa,Pitch and pitch coke; obtained from coal tar or from other mineral tars,2119690.0,2119691.0,37819741.0,0.0,0.05604718445850806,nan,,,,Coke oven coke,6395.952606,0.59775258,0.08966288699999998
543,South Africa,Petroleum oils and oils obtained from bituminous minerals; crude,133941.596126321,259804.23288547338,524809704.05395526,28463.19575155455,0.000255219358734553,nan,,,,Crude oil,415.29797353330963,0.05665729516143378,0.003399437709686027
1424,Nigeria,Petroleum oils and oils obtained from bituminous minerals; crude,79136123387.71675,79136123416.98578,89360664965.89648,0.0,0.8855811829278373,nan,,,,Crude oil,245368672.8147207,33474.580193004185,2008.4748115802513
1463,Egypt,Petroleum oils and oils obtained from bituminous minerals; crude,4645000000.0,4645000000.0,10556500022.552418,0.0,0.44001326103127336,nan,,,,Crude oil,14402240.55,1964.835,117.8901
595,South Africa,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",5406167988.531192,3797041613.711871,2229212355.4116387,7306260.264603831,2.4251471491296788,nan,,,,Motor gasoline,16596881.663110873,2394.9324189193176,143.69594513515906
1478,Nigeria,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",276999420.0,276999420.0,1386831272.477158,0.0,0.19973548729199309,nan,,,,Motor gasoline,850385.4494058,122.71074305999998,7.3626445836
1542,Egypt,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",7288085292.0,7288085292.0,3616326347.3205843,0.0,2.015328427811805,nan,,,,Motor gasoline,22374348.96558708,3228.6217843559994,193.71730706136
853,South Africa,Petroleum gases and other gaseous hydrocarbons,98594441.57567614,139610044.15911686,205047938.61383414,8285.983938984624,0.48083605347215225,nan,,,,Refinery gas,281112.4718205678,24.402124289979845,0.4880424857995969
1657,Nigeria,Petroleum gases and other gaseous hydrocarbons,1681401197.1460302,12954178120.426407,15679430596.175474,0.0,0.10723611338004567,nan,,,,Refinery gas,4794011.093302761,416.14679629364247,8.32293592587285
1703,Egypt,Petroleum gases and other gaseous hydrocarbons,2127960000.0,2127960000.0,2411714061.666956,0.0,0.8823434062200444,nan,,,,Refinery gas,6067239.552,526.6701,10.533402
922,South Africa,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not",128075645.0,128075662.0,134158764.89540881,6351.0,0.9546573054682543,nan,,,,Unburned,0.0,0.0,0.0
1755,Egypt,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not",77338769.0,77338770.0,76932449.0,0.0,1.0052815165158722,nan,,,,Unburned,0.0,0.0,0.0
1051,South Africa,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",89901969.0,89901973.0,288948511.0,350332.0,0.3111349101224474,nan,,,,Petroleum coke,284876.86426875,29.218139925,1.7530883955
1822,Egypt,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",21180910.0,21180910.0,97403746.0,0.0,0.21745477838193206,nan,,,,Petroleum coke,67117.0085625,6.88379575,0.413027745
1108,South Africa,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",23621372.0,23621378.0,22768156.0,2200.0,1.0374740932028048,nan,,,,Oil shale and tar sands,22494.632555599997,2.102302108,0.3153453162
1859,Egypt,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",394774.0,394774.0,184487.0,0.0,2.1398472521099046,nan,,,,Oil shale and tar sands,375.9432802,0.035134886000000004,0.0052702329
1141,South Africa,"Bituminous mixtures based on natural asphalt; on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)",31493050.0,31493056.0,21564703.0,9780.0,1.4603980402605128,nan,,,,Unburned,0.0,0.0,0.0
1883,Egypt,"Bituminous mixtures based on natural asphalt; on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)",128179.0,128179.0,611286.0,0.0,0.20968744581096246,nan,,,,Unburned,0.0,0.0,0.0
